VendorNumber,VendorName,Brand,Description,AvgPurchasePrice,TotalPurchaseQuantity,TotalPurchaseDollars,AvgActualPrice,TotalVolume,TotalSalesDollars,TotalSalesPrice,TotalSalesQuantity,TotalExciseTax,FreightCost,EstimatedProfit,GrossProfit,ProfitMargin,SalesToPurchaseRatio,StockTurnover
4425,MARTIGNETTI COMPANIES,23143,Bogle Chard,4.65,74342,345690.3,6.79,2318250.0,591669.53,101451.92,72139.0,8099.38,144929.24,101049.99000000005,245979.23000000004,41.57375317265367,1.7115595375398154,0.9703666837050389
1128,BROWN-FORMAN CORP          ,1231,Jack Daniels No 7 Black,9.48,36450,345546.0,12.99,561000.0,435377.67,192455.16,35733.0,14044.22,68601.68,21229.98999999999,89831.66999999998,20.633044868837665,1.259970221041482,0.9803292181069959
480,BACARDI USA INC            ,3344,Bombay Sapphire Gin,14.49,23798,344833.02,19.99,1242750.0,516761.8,236205.69999999998,24620.0,19388.25,89286.27,82642.50999999997,171928.77999999997,33.27041201574883,1.4985856052880318,1.0345407177073704
8004,SAZERAC CO INC             ,5191,Fireball Cinnamon Whiskey,7.93,43352,343781.36,9.99,721875.0,430139.43,167542.29,43057.0,16928.97,50293.62,36064.450000000004,86358.07,20.07676208619145,1.2512005595649514,0.9931952389739804
3960,DIAGEO NORTH AMERICA INC   ,3878,Smirnoff 80 Proof,7.96,43015,342399.4,10.99,2602500.0,499703.1,175166.17,43690.0,34397.94,257032.07,-99728.37000000005,157303.69999999995,31.47943248701078,1.4594158167333235,1.015692200395211
3960,DIAGEO NORTH AMERICA INC   ,3352,Ciroc Coconut Vodka,18.79,18095,340005.05,24.99,543000.0,474449.24,91916.84,18976.0,14945.69,257032.07,-122587.88,134444.19,28.336896482329703,1.395418215111805,1.0486874827300359
12546,JIM BEAM BRANDS COMPANY    ,3253,Gilbeys London Dry,9.08,37423,339800.83999999997,12.49,8335250.0,463220.03,154889.61000000002,37497.0,68894.6,123880.97,-461.7799999999406,123419.19000000006,26.64375070309461,1.363210373464645,1.0019773935814873
3664,WILLIAM GRANT & SONS INC   ,1921,Glenfiddich Special Rsv 12,52.71,6436,339241.56,67.99,1387750.0,379168.37,230498.02,5463.0,10040.87,30234.420000000002,9692.389999999996,39926.81,10.530100387856718,1.11769433556431,0.8488191423244251
3960,DIAGEO NORTH AMERICA INC   ,4264,Capt Morgan Spiced Rum Trav,11.53,29352,338428.56,16.99,1951500.0,447487.39999999997,211607.66999999998,28860.0,22722.45,257032.07,-147973.23000000004,109058.83999999997,24.371376713623665,1.3222506989362834,0.9832379394930498
3960,DIAGEO NORTH AMERICA INC   ,2752,Johnnie Walker Black Label,26.31,12778,336189.18,38.99,705750.0,490792.17000000004,271655.89,13083.0,10306.04,257032.07,-102429.07999999996,154602.99000000005,31.5007042594017,1.45986902374431,1.0238691501017374
12546,JIM BEAM BRANDS COMPANY    ,3997,Hornitos Plata Tequila,14.049999999999999,23835,334881.75,19.99,1069500.0,474637.93,233740.72999999998,23007.0,18117.01,123880.97,15875.209999999992,139756.18,29.444798059017323,1.4173299381050177,0.9652611705475141
3664,WILLIAM GRANT & SONS INC   ,3234,Hendrick's Gin,45.92,7290,334756.8,62.99,1739500.0,467921.35,294818.1,7465.0,13719.89,30234.420000000002,102930.12999999999,133164.55,28.458746325637847,1.397794906630724,1.0240054869684498
8004,SAZERAC CO INC             ,1767,Buffalo Trace Bourbon,19.37,17274,334597.38,24.99,877500.0,412468.63999999996,203881.09,16336.0,12865.98,50293.62,27577.63999999995,77871.25999999995,18.879316497855438,1.2327312305912257,0.9456987379877272
3664,WILLIAM GRANT & SONS INC   ,5337,Drambuie,20.6,16167,333040.2,27.99,943500.0,394423.38,219275.16999999998,14262.0,11234.04,30234.420000000002,31148.75999999999,61383.17999999999,15.56276405318569,1.1843116236418305,0.8821673779922063
7239,REMY COINTREAU USA INC     ,4437,Mount Gay Eclipse,23.48,14171,332735.08,30.99,3053750.0,461672.38,235529.35,13562.0,24922.55,16978.67,111958.62999999999,128937.29999999999,27.92831141425441,1.3875073827502649,0.957024910027521
1392,CONSTELLATION BRANDS INC   ,11213,Meiomi Pnt Nr,12.660000000000002,26190,331565.39999999997,19.99,1189500.0,503067.48,150294.91999999998,25652.0,2871.6600000000003,79528.99,91973.09000000001,171502.08000000002,34.09126743791907,1.517249628580063,0.9794578083237877
8004,SAZERAC CO INC             ,5299,Southern Comfort,15.26,21713,331340.38,21.99,3197250.0,412339.05,130310.43,19895.0,36554.34,50293.62,30705.04999999998,80998.66999999998,19.64370582897739,1.2444575876927526,0.9162713581725234
7239,REMY COINTREAU USA INC     ,782,Remy Martin 1738 Accord Ryl,35.15,9415,330937.25,54.99,801000.0,444072.52,151788.57,9148.0,7204.4,16978.67,96156.60000000002,113135.27000000002,25.476755463274337,1.3418632082063897,0.9716409984067976
3960,DIAGEO NORTH AMERICA INC   ,2889,Buchanans Deluxe 12Yr Scotch,23.07,14260,328978.2,31.99,521250.0,432258.32,78540.69,13468.0,10606.02,257032.07,-153751.95,103280.12,23.893147967631943,1.3139421396311366,0.9444600280504909
3960,DIAGEO NORTH AMERICA INC   ,3549,Ketel One Vodka,17.82,18322,326498.04,26.99,1075500.0,407030.68,212090.72,16532.0,13020.04,257032.07,-176499.43,80532.64000000001,19.78539799506023,1.2466558145341393,0.902303242004148
17035,PERNOD RICARD USA          ,857,Kahlua,16.17,20165,326068.05,21.99,1690000.0,462932.26,199801.36,19674.0,20657.7,123780.22,13083.99000000002,136864.21000000002,29.564630038960782,1.419741247264183,0.9756508802380363
3960,DIAGEO NORTH AMERICA INC   ,8506,Myers Original Dark Rum,21.42,15187,325305.54000000004,29.99,3358250.0,449036.67,198940.7,14633.0,26889.579999999998,257032.07,-133300.94000000006,123731.12999999995,27.554794132960218,1.3803535900433788,0.9635214328043722
4425,MARTIGNETTI COMPANIES,14672,Duckhorn Decoy Cab Svgn,11.61,27814,322920.54,21.99,1158000.0,508256.95,143395.56,27729.0,3105.32,144929.24,40407.17000000004,185336.41000000003,36.46510096910628,1.573938127317637,0.9969439850435032
4425,MARTIGNETTI COMPANIES,6579,J Lohr Riverstone Chard,5.8,54960,318768.0,8.99,2144250.0,605967.38,121728.33,56157.0,6301.71,144929.24,142270.14,287199.38,47.395188170029876,1.90096678462079,1.0217794759825327
3252,E & J GALLO WINERY         ,2164,New Amsterdam Gin,12.139999999999999,26071,316501.94,16.99,5386500.0,431674.05,208640.77,24495.0,45007.59,61966.91,53205.19999999998,115172.10999999999,26.680341336246638,1.363890692107606,0.939549691227801
2000,SOUTHERN WINE & SPIRITS NE ,27854,F Coppola Black Label Claret,10.2,30869,314863.8,14.99,1206750.0,443192.12,129556.42,30768.0,3445.7200000000003,19016.59,109311.73000000001,128328.32,28.955460670194228,1.407567716580947,0.9967281091062231
8112,MOET HENNESSY USA INC      ,3682,Belvedere Vodka,16.66,18848,314007.68,22.99,1455750.0,413944.31,199630.15999999997,17869.0,14073.02,48347.26,51589.37,99936.63,24.142530187212866,1.3182617380568526,0.9480581494057725
9552,M S WALKER INC             ,7878,Allens Coffee Brandy,9.99,31200,311688.0,15.99,4557000.0,471064.4,117338.98,31160.0,57256.32,55551.82,103824.58000000002,159376.40000000002,33.833250825152575,1.5113331279997948,0.9987179487179487
2561,EDRINGTON AMERICAS         ,1634,The Famous Grouse,20.73,15031,311592.63,29.99,3213000.0,444949.86,224519.44999999998,14614.0,26854.42,9654.5,123702.72999999998,133357.22999999998,29.971293844209768,1.4279858288047442,0.9722573348413279
12546,JIM BEAM BRANDS COMPANY    ,3444,Hornitos Plata Tequila,29.13,10636,309826.68,39.99,2905000.0,375689.38,242129.64,10362.0,19042.86,123880.97,-58018.26999999999,65862.70000000001,17.531158320205915,1.212579174911599,0.9742384355020685
17035,PERNOD RICARD USA          ,2426,The Glenlivet 15Yr FrenchOak,41.59,7445,309637.55,51.99,921000.0,413475.55,252067.74000000002,7445.0,5866.5,123780.22,-19942.22,103838.0,25.113455922605336,1.3353533833348055,1.0
1392,CONSTELLATION BRANDS INC   ,32915,Kim Crawford Svgn Bl Marlbro,9.99,30842,308111.58,14.99,1387500.0,472099.31,126472.2,30869.0,3459.25,79528.99,84458.73999999998,163987.72999999998,34.735854623468946,1.5322348806234416,1.0008754296089748
4425,MARTIGNETTI COMPANIES,35412,Yellow Tail Chard Ausl,5.97,51294,306225.18,9.99,5757000.0,491916.08999999997,117789.59999999999,50797.0,11409.35,144929.24,40761.669999999984,185690.90999999997,37.74849283746746,1.6063868098632514,0.9903107575934808
